,fh_seq,ffpos,Housing_participation,housing_impute,probs
2650,3518,1,0,0.0,0.00234340428258
2651,3519,1,0,0.0,0.0643321894084
2652,3520,1,0,0.0,0.0112836823764
2653,3522,1,0,0.0,0.00806481626362
2654,3523,1,0,0.0,0.00715186765154
2655,3524,1,1,353.373077558,0.059797572609
2656,3525,1,0,0.0,0.0601758321267
2657,3526,1,0,0.0,0.054709062642
2658,3527,1,1,353.373077558,0.0433613308374
2659,3529,1,0,0.0,0.00993545652445
2660,3529,2,0,0.0,0.0113105773221
2661,3530,1,1,353.373077558,0.0679304271356
2662,3531,1,0,0.0,0.0631159005722
2663,3532,1,0,0.0,1.48107359753e-05
2664,3533,1,0,0.0,0.0643425480775
2665,3535,1,0,0.0,0.00854321167395
2666,3536,1,0,0.0,0.0834706762236
2667,3536,2,0,0.0,0.0128872073279
2668,3537,1,0,0.0,0.0653188099646
2669,3538,1,0,0.0,0.0379282690138
2670,3539,1,0,0.0,0.000371703513981
2671,3541,1,0,0.0,0.000492965699846
2672,3542,1,0,0.0,0.00659167076594
2673,3543,1,0,0.0,0.00219699047879
2674,3545,1,0,0.0,0.00100336846092
2675,3547,1,0,0.0,0.00480131227665
2676,3548,1,0,0.0,0.00657339180632
2677,3549,1,0,0.0,0.0023063216464
2678,3551,1,0,0.0,0.0529258046266
2679,3552,1,0,0.0,0.00967506136977
2680,3554,1,0,0.0,0.000735781458154
2681,3555,1,0,0.0,2.54468464673e-11
2682,3556,1,0,0.0,0.00672322387404
2683,3557,1,0,0.0,0.000423196026017
2684,3560,1,0,0.0,0.00994061302587
2685,3560,2,0,0.0,0.00539473378804
2686,3561,1,0,0.0,0.0400148024358
2687,3561,2,0,0.0,0.0552558023326
2688,3562,1,0,0.0,0.00139164616829
2689,3563,1,0,0.0,0.0643495418068
2690,3564,1,0,0.0,0.00580568163567
2691,3565,1,0,0.0,0.0516615603156
2692,3566,1,0,0.0,0.000820449254477
2693,3567,1,0,0.0,0.0401463001644
2694,3568,1,0,0.0,0.0270982047332
2695,3569,1,0,0.0,0.0375419687462
2696,3570,1,0,0.0,0.00542771467774
2697,3571,1,0,0.0,0.0239137218246
2698,3572,1,0,0.0,0.000535333565509
2699,3573,1,0,0.0,0.0224362425198
2700,3574,1,0,0.0,0.0063289522595
2701,3575,1,0,0.0,0.00269245281842
2702,3576,1,0,0.0,0.0580562337431
2703,3577,1,0,0.0,0.0095971474096
2704,3579,1,0,0.0,0.011901060279
2705,3580,1,0,0.0,0.00229895989105
2706,3581,1,0,0.0,0.0442392692207
2707,3582,1,0,0.0,0.0105324913671
2708,3583,1,0,0.0,0.0580562337431
2709,3584,1,0,0.0,0.0714882271653
2710,3585,1,0,0.0,0.00436955164723
2711,3586,1,0,0.0,0.0310359071806
2712,3586,2,0,0.0,0.0380494734383
2713,3587,1,0,0.0,0.00527480297954
2714,3588,1,0,0.0,0.000674709773589
2715,3589,1,0,0.0,0.00459110177632
2716,3590,1,0,0.0,0.00051054504979
2717,3591,1,0,0.0,0.00979403349352
2718,3592,1,0,0.0,0.000681617705651
2719,3594,1,0,0.0,0.000319584200266
2720,3595,1,0,0.0,0.00769874696725
2721,3596,1,0,0.0,0.0072392609241
2722,3597,1,0,0.0,0.00157646551907
2723,3598,1,0,0.0,0.0370972179955
2724,3601,1,0,0.0,0.101584670468
2725,3602,1,0,0.0,0.00743997077846
2726,3602,2,0,0.0,0.0329505383961
2727,3603,1,0,0.0,0.0022179159659
2728,3604,1,0,0.0,7.48835055114e-05
2729,3605,1,0,0.0,0.011603480167
2730,3605,2,0,0.0,0.00590999004752
2731,3606,1,0,0.0,0.012823694299
2732,3606,2,0,0.0,0.00762296405654
2733,3607,1,0,0.0,0.0128638943412
2734,3607,2,0,0.0,0.0702964289587
2735,3609,1,0,0.0,0.00339449888606
2736,3610,1,0,0.0,0.00149795837663
2737,3611,1,1,353.373077558,0.323665085868
2738,3612,1,1,414.449905777,0.329308467577
2739,3613,1,0,0.0,0.00603385009245
2740,3615,1,0,0.0,0.00229895989105
2741,3616,1,0,0.0,0.0612674388387
2742,3617,1,0,0.0,0.00951741948545
2743,3619,1,0,0.0,0.0200506312452
2744,3620,1,0,0.0,0.00595750728115
2745,3621,1,0,0.0,0.0193386762786
2746,3621,2,0,0.0,0.0555581047482
2747,3622,1,0,0.0,0.0027749869616
2748,3623,1,0,0.0,0.00591445622312
